,statement,source,year,veracity
118_13,"The balanced-budget amendment once came within one vote of passing Congress but was defeated because of the no vote from a top Senate Republican, and Rick Santorum says he ""stood up and called for him to resign his chairmanship.""",Rick Santorum,"stated on November 29, 2011 in an op-ed in the ""New Hampshire Union Leader"":",true
118_14,"In Iraq, ""violence is down to an all-time low"" since the start of the war.",Joe Biden,"stated on December 1, 2011 in an interview on NBC's ""Today Show"":",mostly-true
118_15,"Newt Gingrich’s immigration plan offers ""a new doorway to amnesty.""",Mitt Romney,"stated on November 23, 2011 in a press conference:",mostly-true
118_16,"People can use food stamps ""for anything,"" including ""to go to Hawaii,"" and even millionaires can qualify.",Newt Gingrich,"stated on November 30, 2011 in a speech in Council Bluffs, Iowa:",pants-fire
118_17,"For ""the average middle-class family, your taxes today are lower than when I took office.""",Barack Obama,"stated on November 30, 2011 in a speech in Scranton, Pa.:",true
118_18,Says Mitt Romney has changed his position on supporting the TARP program.,Democratic National Committee,"stated on November 28, 2011 in a Web ad:",false
118_19,"In Pennsylvania, President Barack Obama’s policies have increased unemployment 19 percent, led to the loss of 37,900 manufacturing jobs, and left 189,000 more people in poverty.",Republican National Committee,"stated on November 30, 2011 in a Web video:",half-true
118_20,Says Mitt Romney has said different things about whether global warming is caused by humans,Democratic National Committee,"stated on November 28, 2011 in a Web ad:",mostly-true
118_21,Says Mitt Romney flip-flopped on a taxpayer protection pledge.,Democratic National Committee,"stated on November 28, 2011 in a campaign advertisement:",true
118_22,Says Mitt Romney has flip-flopped on his support for President Reagan’s policies.,Democratic National Committee,"stated on November 28, 2011 in a video ad:",mostly-true
118_23,Says Mitt Romney flip-flopped on an assault weapons ban.,Democratic National Committee,"stated on November 28, 2011 in a campaign advertisement:",half-true
118_24,Says Mitt Romney once supported President Obama’s health care plan but now opposes it.,Democratic National Committee,"stated on November 28, 2011 in a television ad:",barely-true
118_25,"Says Mitt Romney flip-flopped on supporting ""the president's Recovery Act.""",Democratic National Committee,"stated on November 28, 2011 in a campaign ad:",barely-true
118_26,Says Mitt Romney flip-flopped on abortion.,Democratic National Committee,"stated on November 28, 2011 in a campaign ad:",true
118_27,"In Chile ""they have 72 percent of the GDP in savings.""",Newt Gingrich,"stated on November 22, 2011 in a Republican presidential debate in Washington, D.C.:",half-true
118_28,"""We have, right now, Hezbollah, which is working throughout Latin America, in Venezuela, in Mexico, throughout Latin America, which poses a very significant and imminent threat to the United States of America.""",Mitt Romney,"stated on November 22, 2011 in a Republican debate in Washington:",barely-true
118_29,"Says Mahmoud Ahmadinejad said that ""if he has a nuclear weapon he will use it to wipe Israel off the face of the earth. He will use it against the United States of America.""",Michele Bachmann,"stated on November 22, 2011 in a foreign policy debate in Washington, D.C.:",false
119_0,"Says Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers.",Michele Bachmann,"stated on November 22, 2011 in a Republican debate in Washington:",true
119_1,"Says Barack Obama said, ""If we keep talking about the economy, we’re going to lose.""",Mitt Romney,"stated on November 21, 2011 in a television ad:",pants-fire
119_2,"""House Republicans are ramming through legislation ... to classify pizza as a 'vegetable' for the purpose of school lunches.""",Democratic National Committee,"stated on November 17, 2011 in an e-mail message:",half-true
119_3,Says the Simpson-Bowles deficit reduction proposal urged raising $2 trillion in new revenue.,John Kerry,"stated on November 20, 2011 in an interview on NBC's ""Meet the Press"":",barely-true
119_4,1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,Facebook posts,"stated on November 17, 2011 in Facebook:",half-true
119_5,"""Community banks … are being destroyed by Dodd-Frank.""",Newt Gingrich,"stated on November 11, 2011 in remarks at Mandester, N.H. campaign headquarters:",false
119_6,"""The median income of a middle class family went down $2,100 from 2001 to 2007.""",Joe Biden,"stated on October 20, 2011 in speaking at New Hampshire’s Plymouth State University:",true
119_7,"The loan guarantee program that helped Solyndra ""was a program that was supported by President Bush.""",David Plouffe,"stated on October 30, 2011 in an interview on ""Meet the Press"":",mostly-true
119_8,"""41 cents out of every dollar (the U.S. spends) is borrowed from places like China.""",Public Notice,"stated on November 14, 2011 in a political ad:",mostly-true
119_9,"After losing 750,000 jobs a month before this administration, the U.S. economy under Barack Obama has had 20 straight months of growth, has added 2.8 million jobs in the private sector and added ""millions of jobs in manufacturing.""",Debbie Wasserman Schultz,"stated on November 13, 2011 in an interview on NBC's ""Meet the Press"":",half-true
119_10,"Under energy efficiency legislation sponsored by U.S. Sen. Jeanne Shaheen, ""federal bureaucrats could take over the local building code enforcement in your city if so-called ‘green mandates’ are not complied with quickly enough.""",Rick Perry,"stated on October 28, 2011 in remarks at the Cornerstone Action Dinner in Manchester, N.H.:",false
119_11,"""Torture is illegal by our laws. It's illegal by international laws.""",Ron Paul,"stated on November 12, 2011 in a Republican presidential debate in Spartanburg, S.C.:",true
119_12,"""By 2014, there will be one administrator for every teacher on college campuses in the United States.""",Newt Gingrich,"stated on November 9, 2011 in a Republican presidential debate in Michigan:",half-true
119_13,"Solar and wind energy are ""both cheaper than nuclear right now.""",Bill Clinton,"stated on November 8, 2011 in an interview on The Daily Show:",half-true
119_14,"In April 2009 ""the Democrats were in control, and the congressional (approval) rating was 40 percent.""",Nancy Pelosi,"stated on November 9, 2011 in an interview with Jon Stewart on ""The Daily Show"":",half-true
119_15,"""By 2015, we will be sending so much interest"" to China that ""we will be paying for the entire People's Liberation Army.""",Michele Bachmann,"stated on November 9, 2011 in a Republican presidential debate in Michigan:",false
119_16,"""Over half of the people who would be taxed under (a millionaire surtax) are, in fact, small businesspeople.""",John Boehner,"stated on November 6, 2011 in an ABC interview with Christiane Amanpour:",false
119_17,"""The unemployment rate among (the) non-college-educated is well into the double digits in America. It's 4 percent or 5 percent for people who have college degrees.""",Rick Santorum,"stated on November 9, 2011 in a Republican presidential debate in Michigan:",half-true
119_18,"Under President Barack Obama, ""more Americans are in poverty ... than at any time since the Census Bureau began keeping records on it over 50 years ago.""",Newt Gingrich,"stated on November 9, 2011 in a written opening statement for a debate:",half-true
119_19,"Says Mitt Romney ""is committed to overturning Roe vs. Wade, and he supports such amendments that define a life as beginning at the moment of conception.""",Debbie Wasserman Schultz,"stated on November 3, 2011 in a conference call with reporters:",mostly-true
119_20,"The United States sends ""$300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.""",Jon Huntsman,"stated on November 1, 2011 in a speech on energy policy at University of New Hampshire:",half-true
119_21,"""We spend half a trillion dollars a year in tax preparation.""",Rick Perry,"stated on October 28, 2011 in a speech in Manchester, N.H.:",barely-true
119_22,"Repealing the health care law ""would save $95 billion in 2016.""",Mitt Romney,"stated on November 4, 2011 in an op-ed in USA Today:",false
119_23,"""Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.""",Barack Obama,"stated on November 1, 2011 in a Fox television interview:",false
119_24,"In Libya, ""America spent $2 billion total and didn’t lose a single life.""",Joe Biden,"stated on October 21, 2011 in a talk at Plymouth State University in Plymouth, N.H.:",mostly-true
119_25,"""Because of Barack Obama the mission in Iraq ended.""",Barack Obama,"stated on November 3, 2011 in a campaign ad:",half-true
119_26,Says Mitt Romney flip-flopped on gun control.,Jon Huntsman,"stated on October 28, 2011 in a web advertisement:",mostly-true
119_27,"""Because of Barack Obama 32 million new people will have healthcare.""",Barack Obama,"stated on November 2, 2011 in a campaign ad:",mostly-true
119_28,Says Mitt Romney flip-flopped on abortion.,Jon Huntsman,"stated on October 28, 2011 in a web advertisement:",true
119_29,"China is ""trying to develop nuclear capability.""",Herman Cain,"stated on October 31, 2011 in an interview on ""PBS Newshour"":",pants-fire
120_0,"Says Mitt Romney’s housing policy is, ""Don’t try and stop the foreclosure process. Let it run its course and hit the bottom.""",Democratic National Committee,"stated on November 24, 2011 in a campaign ad:",half-true
120_1,"""I made a bunch of these promises during the campaign. ... We've got about 60 percent done in three years.""",Barack Obama,"stated on October 25, 2011 in a speech at a fundraiser:",false
120_2,"""Under Barack Obama's watch, we have expended $805 billion to liberate the people of Iraq and, more importantly, 4,400 American lives.""",Michele Bachmann,"stated on October 28, 2011 in an interview with CNN's Wolf Blitzer:",pants-fire
